numero_base,classe,descricao
010579,1,"Preparações biológicas, exceto para uso médico ou veterinário"
010580,1,Preparações alvejantes [descolorantes] para uso industrial
010581,1,"Filmes sensibilizados, mas não expostos"
010582,1,Preparações para destilação de álcool de madeira
010583,1,Fundentes para brasagem
010584,1,Fundentes para soldagem
010585,1,Bromo para uso químico
010586,1,Carbonila para proteção de plantas
010587,1,Floculantes
010588,1,Lecitina [matéria-prima]
010589,1,Substratos para cultivo fora do solo [agricultura]
010590,1,Ésteres de celulose para uso industrial
010591,1,Caseína para uso industrial
010592,1,Derivados de celulose [substâncias químicas]
010593,1,Éteres de celulose para uso industrial
010594,1,"Preparações bacterianas, exceto para uso médico ou veterinário"
010595,1,"Preparações bacteriológicas, exceto para uso médico ou veterinário"
010596,1,"Culturas de microrganismos, exceto para uso medicinal ou veterinário"
010597,1,Negro de carvão para uso industrial [fragmento de carvão]
010598,1,"Filmes cinematográficos sensibilizados, mas não expostos"
010599,1,Óxido de cobalto para uso industrial
010600,1,Cola para uso industrial
010601,1,Óleos para acabamento do couro
010602,1,Creosoto para uso químico
010603,1,Composições para a fabricação de discos fonográficos
010604,1,Preparações para dissociar gorduras
010605,1,Dispersões de matérias plásticas
010606,1,Solventes para vernizes
010607,1,Adoçantes artificiais para fins industriais
010608,1,Substâncias químicas para purificação de água
010609,1,Emolientes para uso industrial
010610,1,Material para filtragem em matérias plásticas não processadas
010611,1,Material para filtragem constituído por preparações químicas
010612,1,Material para filtragem constituído por substâncias minerais
010613,1,Material para filtragem constituído por substâncias vegetais
010614,1,Glicose para uso industrial
010616,1,Gomas [colas] para fins industriais
010617,1,"Substâncias químicas, exceto tintas, à prova de umidade para alvenaria"
010618,1,"Ictiocola, exceto para papelaria, uso doméstico ou uso alimentar"
010619,1,Agentes para conservação de cerveja
010620,1,Materiais sintéticos para absorção de óleo
010621,1,Materiais cerâmicos em partículas para uso como meio de filtragem
010622,1,Adubo composto
010631,1,Composições para manufatura de cerâmicas técnicas
010632,1,Terra diatomácea
010633,1,Mordentes para metais
