descricao,classe
"Comércio [através de qualquer meio] de metais em folhas e em pó para pintores, decoradores, impressores e artistas Comércio [através de qualquer meio] de metais preciosos e suas ligas",35
Comércio [através de qualquer meio] de mica,35
Comércio [através de qualquer meio] de minérios,35
Comércio [através de qualquer meio] de mochilas,35
Comércio [através de qualquer meio] de molduras,35
Comércio [através de qualquer meio] de monumentos não metálicos,35
Comércio [através de qualquer meio] de mordentes [fixador para tintas],35
Comércio [através de qualquer meio] de motores [exceto os motores para veículos terrestres] Comércio [através de qualquer meio] de móveis,35
Comércio [através de qualquer meio] de munições e projéteis,35
Comércio [através de qualquer meio] de óleos essenciais,35
Comércio [através de qualquer meio] de óleos industriais,35
Comércio [através de qualquer meio] de óleos vegetais alimentícios,35
Comércio [através de qualquer meio] de palha de aço,35
Comércio [através de qualquer meio] de panelas,35
Comércio [através de qualquer meio] de papel e papelão,35
"Comércio [através de qualquer meio] de partes e componentes de aparelhos de locomoção por terra, por ar ou por água Comércio [através de qualquer meio] de partes e componentes de veículos terrestres",35
Comércio [através de qualquer meio] de pedras preciosas,35
Comércio [através de qualquer meio] de peles de animais,35
Comércio [através de qualquer meio] de pentes e esponjas,35
Comércio [através de qualquer meio] de pincéis,35
Comércio [através de qualquer meio] de plantas e flores naturais,35
Comércio [através de qualquer meio] de preparações de higiene pessoal não medicamentosas Comércio [através de qualquer meio] de preparações farmacêuticas,35
Comércio [através de qualquer meio] de preparações higiênicas para uso medicinal,35
Comércio [através de qualquer meio] de preparações para branquear [lavanderia],35
"Comércio [através de qualquer meio] de preparações para limpar, polir, desengordurar e decapar Comércio [através de qualquer meio] de preparações para temperar e soldar metais",35
Comércio [através de qualquer meio] de preparações veterinárias,35
Comércio [através de qualquer meio] de preservativos contra oxidação e contra a deterioração da madeira Comércio [através de qualquer meio] de produtos abrasivos para limpeza,35
Comércio [através de qualquer meio] de produtos alimentícios [aves e ovos],35
Comércio [através de qualquer meio] de produtos alimentícios [biscoitos],35
Comércio [através de qualquer meio] de produtos alimentícios [bolos],35
Comércio [através de qualquer meio] de produtos alimentícios [carnes vermelhas],35
Comércio [através de qualquer meio] de produtos alimentícios [cereais],35
Comércio [através de qualquer meio] de produtos alimentícios [chocolates],35
Comércio [através de qualquer meio] de produtos alimentícios [doces],35
"Comércio [através de qualquer meio] de produtos alimentícios [frutas, verduras e legumes]",35
Comércio [através de qualquer meio] de produtos alimentícios [grãos],35
Comércio [através de qualquer meio] de produtos alimentícios [laticínios],35
Comércio [através de qualquer meio] de produtos alimentícios [massas],35
Comércio [através de qualquer meio] de produtos alimentícios [pães],35
Comércio [através de qualquer meio] de produtos alimentícios [peixes],35
Comércio [através de qualquer meio] de produtos alimentícios [refeições congeladas],35
Comércio [através de qualquer meio] de produtos alimentícios [salgadinhos],35
Comércio [através de qualquer meio] de produtos alimentícios [sanduíches],35
Comércio [através de qualquer meio] de produtos alimentícios [sorvetes],35
Comércio [através de qualquer meio] de produtos alimentícios [sucos],35
Comércio [através de qualquer meio] de produtos confeccionados de metais preciosos ou folheados Comércio [através de qualquer meio] de produtos de metal comum,35
Comércio [através de qualquer meio] de produtos de perfumaria,35
Comércio [através de qualquer meio] de produtos de serralharia,35
Comércio [através de qualquer meio] de produtos em matérias plásticas semiprocessados,35
