numero_base,classe,descricao,referencias_correlacionadas
010245,1,Papel diazo,020096;030139;030140;030166;050035;050237;050237;050286;050437;070291;160006;160008;160010;160010;160062;160066;160067;160074;160094;160102;160115;160116;160130;160130;160140;160155;160156;160182;160183;160190;160191;160192;160198;160200;160202;160210;160224;160229;160233;160254;160276;160280;160286;160287;160294;160295;160296;160305;160306;160307;160308;160324;160327;160332;160339;160344;160366;160370;160372;160373;160375;160376;160382;160383;160384;160390;160391;160395;160396;160399;160403;160408;160409;160410;170029;170055;170071;190062;210173;210180;210187;210253;210318;210340;210419;210476;220031;220038;240022;240032;250122;250128;250162;250182;260141;270007;280204;300239;300240;340024;400006;400061
010246,1,Preparações para renovar discos fonográficos,090016;090230
010247,1,Água destilada,030058;030089;030091;030092;030112;030255;050044;050054;050054;050128;050129;050130;050131;060091;070147;070163;070164;070165;090072;090204;090311;100082;100096;110052;110076;110096;110104;110123;110124;110125;110127;110128;110147;110174;110243;110252;110276;110302;110383;160309;170006;190042;190076;200230;210118;210471;300076;300169;300174;300287;310133;320014;320015;320017;320028;320035;330041;390003;390030;400025;420216;440239
010248,1,Dolomita para uso industrial,040030;040047;040057;040065;040067;040075;040087;040089;070004;070103;070143;070282;070316;070327;070347;070419;070509;070600;090178;090276;090418;090526;110292;420049;420165
010249,1,Preparações para endurecer metal,020010;020107;030003;030045;030096;030137;030148;030170;030171;030225;030228;030237;030259;050005;050025;050029;050032;050045;050046;050063;050090;050103;050116;050120;050135;050195;050218;050229;050229;050275;050287;050370;050390;050401;050411;050506;050517;060039;060082;060087;060095;060100;060103;060148;060165;060167;060183;060202;060209;060215;060218;060233;060239;060246;060258;060289;060296;060323;060327;060346;060372;060425;060430;060433;060450;060457;060482;140075;200132;400042;400043
010251,1,Água acidulada para recarga de baterias,030255;050131;070163;090007;090008;090010;090012;090031;090044;090072;090287;090557;090957;150066;320014;320017;370130;370151;400141;030255;050131;070163;090008;090009;090009;090072;090361;110002;110242;320014;320017;370130;370151
010251,1,Água acidulada para recarga de acumuladores,030255;050131;070163;090007;090008;090010;090012;090031;090044;090072;090287;090557;090957;150066;320014;320017;370130;370151;400141;030255;050131;070163;090008;090009;090009;090072;090361;110002;110242;320014;320017;370130;370151
010252,1,Glicerina para uso industrial,040030;040047;040057;040065;040067;040075;040087;040089;070004;070103;070143;070282;070316;070327;070347;070419;070509;070600;090178;090276;090418;090526;110292;420049;420165
010253,1,Água pesada,030058;030089;030091;030092;030112;030255;050044;050054;050054;050128;050129;050130;050131;060091;070147;070163;070164;070165;090072;090204;090311;100082;100096;110052;110076;110096;110104;110123;110124;110125;110127;110128;110147;110174;110243;110252;110276;110302;110383;160309;170006;190042;190076;200230;210118;210471;300076;300169;300174;300287;310133;320014;320015;320017;320028;320035;330041;390003;390030;400025;420216;440239
010254,1,Preparações de clarificação,020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034;030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517;070002;090898;110123;110135;110166;110206;110207;400003
010254,1,Preparações de purificação,020010;020049;020094;020107;030003;030045;030077;030096;030104;030137;030148;030170;030171;030215;030225;030228;030232;030237;030259;030268;040009;050005;050007;050025;050026;050029;050032;050041;050045;050046;050063;050069;050077;050090;050103;050116;050120;050133;050135;050166;050195;050218;050229;050229;050272;050275;050287;050370;050371;050390;050401;050411;050446;050448;050455;050459;050475;050506;050517;050530;290015;300011;300034;030096;030237;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517;070002;090898;110123;110135;110166;110206;110207;400003
010255,1,Permutadores de íons [substâncias químicas],050028;050277;420031;440115
010256,1,Preparações para fabricação de flashes,030077;030096;030171;030225;030237;050005;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517;070291;070607;260123;320067;320068;370123;400129
010257,1,Preparações para economizar combustível,030096;030171;030225;030237;040003;040004;040014;040017;040023;040024;040025;040032;040041;040049;040064;040072;040081;040084;040088;040107;040111;040112;040113;040119;040123;050005;050025;050029;050032;050090;050103;050116;050120;050135;050195;050229;050229;050390;050517;060338;070542;070543;120241;120341;370182
